County,n,long,lat,group,order,region
monroe,1,-80.9933090209961,25.135658264160156,333,13747,florida
monroe,1,-81.04488372802734,25.141387939453125,333,13748,florida
monroe,1,-81.0849838256836,25.129928588867188,333,13749,florida
monroe,1,-81.10790252685547,25.135658264160156,333,13750,florida
monroe,1,-81.13082122802734,25.15857696533203,333,13751,florida
monroe,1,-81.16519927978516,25.20441436767578,333,13752,florida
monroe,1,-81.1766586303711,25.23879051208496,333,13753,florida
monroe,1,-81.1823959350586,25.267438888549805,333,13754,florida
monroe,1,-81.1766586303711,25.301815032958984,333,13755,florida
monroe,1,-81.16519927978516,25.319005966186523,333,13756,florida
monroe,1,-81.14228820800781,25.32473373413086,333,13757,florida
monroe,1,-81.1193618774414,25.319005966186523,333,13758,florida
monroe,1,-81.10218048095703,25.301815032958984,333,13759,florida
monroe,1,-81.079254150390625,25.273168563842773,333,13760,florida
monroe,1,-81.05061340332031,25.24452018737793,333,13761,florida
monroe,1,-81.02196502685547,25.233060836791992,333,13762,florida
monroe,1,-80.9933090209961,25.221601486206055,333,13763,florida
monroe,1,-80.95893859863281,25.233060836791992,333,13764,florida
monroe,1,-80.93601989746094,25.24452018737793,333,13765,florida
monroe,1,-80.924560546875,25.255979537963867,333,13766,florida
monroe,1,-80.93029022216797,25.27889633178711,333,13767,florida
monroe,1,-80.924560546875,25.29608726501465,333,13768,florida
monroe,1,-80.91883087158203,25.313274383544922,333,13769,florida
monroe,1,-80.91883087158203,25.32473373413086,333,13770,florida
monroe,1,-80.93029022216797,25.330463409423828,333,13771,florida
monroe,1,-80.96466827392578,25.32473373413086,333,13772,florida
monroe,1,-80.98185729980469,25.32473373413086,333,13773,florida
monroe,1,-80.987579345703125,25.330463409423828,333,13774,florida
monroe,1,-80.9990463256836,25.353382110595703,333,13775,florida
monroe,1,-81.0162353515625,25.359111785888672,333,13776,florida
monroe,1,-81.02196502685547,25.359111785888672,333,13777,florida
monroe,1,-81.06207275390625,25.382030487060547,333,13778,florida
monroe,1,-81.07352447509766,25.382030487060547,333,13779,florida
monroe,1,-81.10218048095703,25.376300811767578,333,13780,florida
monroe,1,-81.11363220214844,25.382030487060547,333,13781,florida
monroe,1,-81.15373992919922,25.399219512939453,333,13782,florida
monroe,1,-81.170928955078125,25.422136306762695,333,13783,florida
monroe,1,-81.1766586303711,25.473703384399414,333,13784,florida
monroe,1,-81.19384765625,25.49089241027832,333,13785,florida
monroe,1,-81.216766357421875,25.513811111450195,333,13786,florida
monroe,1,-81.22249603271484,25.5252685546875,333,13787,florida
monroe,1,-81.2110366821289,25.548187255859375,333,13788,florida
